title,ratings,reviews,url,course_by,skills,price,id,"level, type and duration"
Disability Inclusion in Education: Building Systems of Support,4.8,317,https://www.coursera.org/learn/disability-inclusion-education,University of Cape Town,"Business Psychology, Collaboration, Communication, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, People Development, Writing",Free,280,Beginner · Course · 1-3 Months
Discrete Optimization,4.8,707,https://www.coursera.org/learn/discrete-optimization,The University of Melbourne,"Computer Science, Mathematics, Applied Mathematics, Computer Programming, Geometry, Linear Algebra, Python Programming, Algorithms, Entrepreneurship, Graph Theory, Market Research, Operations Research, Programming Principles, Research and Design, Software Engineering, Software Testing, Statistical Programming, Strategy and Operations, Theoretical Computer Science",Free,281,Intermediate · Course · 1-3 Months
Earth Economics,4.7,58,https://www.coursera.org/learn/earth-economics,Erasmus University Rotterdam,"Behavioral Economics, Business Psychology, Data Analysis",Free,282,Beginner · Course · 1-3 Months
Sexualidad...mucho más que sexo,4.8,56000,https://www.coursera.org/learn/sexualidad,Universidad de los Andes,,Free,283,Beginner · Course · 1-3 Months
Epigenetic Control of Gene Expression,4.8,751,https://www.coursera.org/learn/epigenetics,The University of Melbourne,"Bioinformatics, Probability & Statistics",Free,284,Mixed · Course · 1-3 Months
Criação de Startups: Como desenvolver negócios inovadores,4.8,581,https://www.coursera.org/learn/criacao-startups,Universidade de São Paulo,"Entrepreneurship, Marketing, Business Psychology, Human Computer Interaction, Leadership and Management, Strategy and Operations, User Experience, Culture, Research and Design, Sales, Strategy, Business Analysis, Business Design, Customer Analysis, Design and Product, Digital Marketing, Market Analysis, Persona Research, Planning, Supply Chain and Logistics, User Experience Design",Free,285,Beginner · Course · 1-3 Months
The Bilingual Brain,4.6,572,https://www.coursera.org/learn/bilingual,University of Houston,"Business Psychology, Deep Learning, Entrepreneurship, Human Learning, Machine Learning, Natural Language Processing",Free,286,Mixed · Course · 1-3 Months
Companies and climate change,4.4,34,https://www.coursera.org/learn/companies-and-climate-change,ESSEC Business School,"Brand Management, Marketing, Leadership and Management, Strategy and Operations, Operations Research, Research and Design, Supply Chain Systems, Supply Chain and Logistics, Deep Learning, Entrepreneurship, Finance, Financial Management, Machine Learning, Sales, Strategy",Free,287,Beginner · Course · 1-4 Weeks
Gut Check: Exploring Your Microbiome,4.7,11000,https://www.coursera.org/learn/microbiome,University of Colorado Boulder,"Data Analysis, Data Visualization, Dimensionality Reduction, Machine Learning",Free,288,Mixed · Course · 1-3 Months
Large Marine Ecosystems: Assessment and Management,4.8,267,https://www.coursera.org/learn/large-marine-ecosystems,University of Cape Town,"Leadership and Management, Entrepreneurship, Strategy and Operations, Business Psychology, Data Analysis, Organizational Development, Project Management",Free,289,Intermediate · Course · 1-3 Months
Mindware: Critical Thinking for the Information Age,4.8,13000,https://www.coursera.org/learn/mindware,University of Michigan,"Probability & Statistics, Critical Thinking, Correlation And Dependence, Data Analysis, Statistical Tests, Basic Descriptive Statistics, Business Analysis, General Statistics, Probability Distribution, Regression, Statistical Analysis, Decision Making, Entrepreneurship, Experiment, Human Resources, Leadership Development, Leadership and Management, Market Research, Research and Design, Software Engineering, Software Testing, Strategy and Operations",Free,290,Beginner · Course · 1-3 Months
Álgebra básica,4.8,33000,https://www.coursera.org/learn/algebra-basica,Universidad Nacional Autónoma de México,"Algebra, Mathematics",Free,291,Mixed · Course · 1-3 Months
Introduction to Microsoft Excel,4.6,21000,https://www.coursera.org/projects/introduction-microsoft-excel,Coursera Project Network,"Business Analysis, Data Analysis, Microsoft Excel, Spreadsheet Software, Data Analysis Software",,292,Intermediate · Guided Project · Less Than 2 Hours
Periodismo digital y combate a las fake news,4.9,570,https://www.coursera.org/learn/periodismo-digital,Universidad Nacional Autónoma de México,"Communication, Journalism, Social Media, Marketing",Free,293,Beginner · Course · 1-4 Weeks
Game Theory II: Advanced Applications,4.7,593,https://www.coursera.org/learn/game-theory-2,Stanford University,"Game Theory, Mathematics, Algebra, Algorithms, Amazon Web Services, Applied Machine Learning, Applied Mathematics, ArcGIS, Artificial Neural Networks, Cloud Computing, Design and Product, Entrepreneurship, Leadership and Management, Machine Learning, Market Research, Marketing, Product Management, Product Marketing, Research and Design, Sales, Statistical Programming, Strategy, Strategy and Operations, Theoretical Computer Science",Free,294,Advanced · Course · 1-3 Months
"Philosophy, Science and Religion: Science and Philosophy",4.5,898,https://www.coursera.org/learn/philosophy-science-religion-1,The University of Edinburgh,"Experiment, Probability & Statistics, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations, Machine Learning",Free,295,Beginner · Course · 1-3 Months
Oceanography: a key to better understand our world,4.5,237,https://www.coursera.org/learn/oceanography,Universitat de Barcelona,"Data Visualization, Geovisualization, Business Analysis, Computer Vision, Epidemiology, Machine Learning, Mathematics, Probability & Statistics, Strategy and Operations, Algorithms, Bioinformatics, Computer Graphic Techniques, Computer Graphics, Data Analysis, Graph Theory, Mathematical Theory & Analysis, Operations Management, Process Analysis, Scientific Visualization, Spatial Data Analysis, Theoretical Computer Science",Free,296,Mixed · Course · 1-3 Months
L'innovation managériale en pratique,4.6,427,https://www.coursera.org/learn/innovation-manageriale,ESSEC Business School,"Entrepreneurship, Innovation, Leadership and Management, Research and Design, Sales, Strategy and Operations, Communication, Marketing, Strategy, Collaboration, Creativity, Business Psychology, Change Management, Human Resources, Organizational Development",Free,297,Beginner · Course · 1-4 Weeks
"Faster Together, Enhancing the Recruitment of Minorities in Clinical Trials",4.8,91,https://www.coursera.org/learn/recruitment-minorities-clinical-trials,Vanderbilt University,"Communication, Human Resources, Recruitment, Decision Making, Entrepreneurship, Leadership and Management",Free,298,Beginner · Course · 1-3 Months
International Water Law,4.6,397,https://www.coursera.org/learn/international-water-law,University of Geneva,"Conflict Management, Human Resources, Leadership and Management, Finance, Business Analysis, Critical Thinking, Regulations and Compliance, Research and Design, Strategy and Operations",Free,299,Intermediate · Course · 1-3 Months
Astrobiology and the Search for Extraterrestrial Life,4.8,25000,https://www.coursera.org/learn/astrobiology,The University of Edinburgh,,Free,300,Mixed · Course · 1-3 Months
